Plate,Well,ID,Concentration,Area,Mean,Min,Max,Replicate
1-,A1,1-A1,1,1310720,104.782,29,255,1
1-,A2,1-A2,0.5,1310720,72.482,24,255,1
1-,A3,1-A3,0.25,1310720,104.75,27,255,1
1-,A4,1-A4,0.125,1310720,17.332,2,255,1
1-,A5,1-A5,0.0625,1310720,13.743,1,255,1
1-,A6,1-A6,0.03125,1310720,16.697,1,255,1
1-,A7,1-A7,0.015625,1310720,98.063,29,255,1
1-,A8,1-A8,0.0078125,1310720,84.126,26,255,1
1-,A9,1-A9,0.00390625,1310720,94.063,27,255,1
1-,A10,1-A10,0.001953125,1310720,74.019,18,255,1
1-,A11,1-A11,0.000976563,1310720,127.073,27,255,1
1-,A12,1-A12,0,1310720,120.933,24,255,1
1-,B1,1-B1,1,1310720,88.395,25,255,2
1-,B2,1-B2,0.5,1310720,75.082,25,255,2
1-,B3,1-B3,0.25,1310720,78.671,26,255,2
1-,B4,1-B4,0.125,1310720,16.697,1,255,2
1-,B5,1-B5,0.0625,1310720,14.47,1,255,2
1-,B6,1-B6,0.03125,1310720,17.466,2,255,2
1-,B7,1-B7,0.015625,1310720,88.973,27,255,2
1-,B8,1-B8,0.0078125,1310720,92.731,27,255,2
1-,B9,1-B9,0.00390625,1310720,92.301,27,255,2
1-,B10,1-B10,0.001953125,1310720,13.594,1,255,2
1-,B11,1-B11,0.000976563,1310720,16.059,1,255,2
1-,B12,1-B12,0,1310720,16.429,1,255,2
1-,C1,1-C1,1,1310720,100.997,26,255,3
1-,C2,1-C2,0.5,1310720,89.479,27,255,3
1-,C3,1-C3,0.25,1310720,85.295,26,255,3
1-,C4,1-C4,0.125,1310720,20.077,4,255,3
1-,C5,1-C5,0.0625,1310720,14.948,1,255,3
1-,C6,1-C6,0.03125,1310720,19.543,3,255,3
1-,C7,1-C7,0.015625,1310720,84.298,26,255,3
1-,C8,1-C8,0.0078125,1310720,78.776,26,255,3
1-,C9,1-C9,0.00390625,1310720,106.372,26,255,3
1-,C10,1-C10,0.001953125,1310720,21.811,4,255,3
1-,C11,1-C11,0.000976563,1310720,21.122,4,255,3
1-,C12,1-C12,0,1310720,15.215,2,255,3